% AB mag
% 1.2
% WD model 18000K log g=8 FUV=18.5mag
1081.359388 19.032433
1081.461342 19.016738
1081.563297 19.001326
1081.665251 18.986206
1081.767205 18.971393
1081.869159 18.956894
1081.971113 18.942718
1082.073067 18.928880
1082.175021 18.915388
1082.276975 18.902244
1082.378929 18.889453
1082.480884 18.877027
1082.582838 18.864963
1082.684792 18.853267
1082.786746 18.841937
1082.888700 18.830967
1082.990654 18.820360
1083.092608 18.810105
1083.194562 18.800198
1083.296517 18.790627
1083.398471 18.781383
1083.500425 18.772460
1083.602379 18.763843
1083.704333 18.755525
1083.806287 18.747500
1083.908241 18.739752
1084.010195 18.732281
1084.112150 18.725073
1084.214104 18.718121
1084.316058 18.711423
1084.418012 18.704970
1084.519966 18.698754
1084.621920 18.692768
1084.723874 18.687009
1084.825828 18.681464
1084.927782 18.676131
1085.029737 18.670999
1085.131691 18.666061
1085.233645 18.661305
1085.335599 18.656727
1085.437553 18.652314
1085.539507 18.648062
1085.641461 18.643956
1085.743415 18.639993
1085.845370 18.636159
1085.947324 18.632455
1086.049278 18.628871
1086.151232 18.625401
1086.253186 18.622040
1086.355140 18.618784
1086.457094 18.615628
1086.559048 18.612569
1086.661003 18.609603
1086.762957 18.606725
1086.864911 18.603936
1086.966865 18.601230
1087.068819 18.598602
1087.170773 18.596047
1087.272727 18.593565
1087.374681 18.591149
1087.476636 18.588798
1087.578590 18.586506
1087.680544 18.584270
1087.782498 18.582092
1087.884452 18.579965
1087.986406 18.577889
1088.088360 18.575862
1088.190314 18.573878
1088.292268 18.571939
1088.394223 18.570044
1088.496177 18.568189
1088.598131 18.566371
1088.700085 18.564594
1088.802039 18.562854
1088.903993 18.561147
1089.005947 18.559480
1089.107901 18.557850
1089.209856 18.556252
1089.311810 18.554688
1089.413764 18.553163
1089.515718 18.551668
1089.617672 18.550208
1089.719626 18.548778
1089.821580 18.547381
1089.923534 18.546013
1090.025489 18.544674
1090.127443 18.543364
1090.229397 18.542080
1090.331351 18.540824
1090.433305 18.539595
1090.535259 18.538394
1090.637213 18.537226
1090.739167 18.536082
1090.841121 18.534971
1090.943076 18.533888
1091.045030 18.532833
1091.146984 18.531809
1091.248938 18.530814
1091.350892 18.529847
1091.452846 18.528905
1091.554800 18.527989
1091.656754 18.527100
1091.758709 18.526230
